restaurant_id,menu_item_id,customer_demand_trend,pattern_strength
R01,M01,stable,0.06
R01,M02,stable,0.07
R01,M03,stable,0.09
R01,M04,stable,0.08
R01,M05,stable,0.07
R01,M06,stable,0.08
R01,M07,stable,0.06
R01,M08,stable,0.08
R01,M09,stable,0.14
R01,M10,stable,0.1
R01,M11,stable,0.11
R01,M12,stable,0.09
R01,M13,stable,0.09
R01,M14,stable,0.09
R01,M15,stable,0.12
R01,M16,stable,0.08
R01,M17,stable,0.05
R01,M18,stable,0.1
R01,M19,stable,0.07
R01,M20,stable,0.09
R01,M21,stable,0.14
R01,M22,stable,0.03
R01,M23,stable,0.09
R01,M24,stable,0.1
R01,M25,stable,0.09
R01,M26,stable,0.1
R01,M27,stable,0.07
R01,M28,stable,0.1
R01,M29,stable,0.07
R01,M30,stable,0.09
R01,M31,stable,0.06
R01,M32,stable,0.11
R01,M33,stable,0.1
R01,M34,stable,0.12
R01,M35,stable,0.09
R01,M36,stable,0.04
R01,M37,stable,0.08
R01,M38,stable,0.06
R01,M39,stable,0.1
R01,M40,stable,0.1
R01,M41,stable,0.11
R01,M42,stable,0.09
R01,M43,stable,0.07
R01,M44,stable,0.12
R01,M45,stable,0.11
R01,M46,stable,0.11
R01,M47,stable,0.1
R01,M48,stable,0.05
R01,M49,stable,0.12
R01,M50,stable,0.09
R02,M01,stable,0.08
R02,M02,stable,0.06
R02,M03,stable,0.1
R02,M04,stable,0.08
R02,M05,stable,0.09
R02,M06,stable,0.09
R02,M07,stable,0.09
R02,M08,stable,0.1
R02,M09,stable,0.1
R02,M10,stable,0.13
R02,M11,stable,0.1
R02,M12,stable,0.08
R02,M13,stable,0.12
R02,M14,stable,0.09
R02,M15,stable,0.11
R02,M16,stable,0.09
R02,M17,stable,0.07
R02,M18,stable,0.12
R02,M19,stable,0.05
R02,M20,stable,0.06
R02,M21,stable,0.04
R02,M22,stable,0.03
R02,M23,stable,0.11
R02,M24,stable,0.09
R02,M25,stable,0.07
R02,M26,stable,0.13
R02,M27,stable,0.08
R02,M28,stable,0.1
R02,M29,stable,0.09
R02,M30,stable,0.06
R02,M31,stable,0.09
R02,M32,stable,0.08
R02,M33,stable,0.1
R02,M34,stable,0.1
R02,M35,stable,0.09
R02,M36,stable,0.06
R02,M37,stable,0.08
R02,M38,stable,0.08
R02,M39,stable,0.09
R02,M40,stable,0.07
R02,M41,stable,0.1
R02,M42,stable,0.1
R02,M43,stable,0.1
R02,M44,stable,0.11
R02,M45,stable,0.08
R02,M46,stable,0.11
R02,M47,stable,0.09
R02,M48,stable,0.09
R02,M49,stable,0.12
R02,M50,stable,0.09
R03,M01,stable,0.1
R03,M02,stable,0.05
R03,M03,stable,0.12
R03,M04,stable,0.07
R03,M05,stable,0.12
R03,M06,stable,0.1
R03,M07,stable,0.07
R03,M08,stable,0.02
R03,M09,stable,0.09
R03,M10,stable,0.13
R03,M11,stable,0.1
R03,M12,stable,0.13
R03,M13,stable,0.12
R03,M14,stable,0.11
R03,M15,stable,0.11
R03,M16,stable,0.07
R03,M17,stable,0.12
R03,M18,stable,0.12
R03,M19,stable,0.09
R03,M20,stable,0.05
R03,M21,stable,0.08
R03,M22,stable,0.04
R03,M23,stable,0.09
R03,M24,stable,0.07
R03,M25,stable,0.06
R03,M26,stable,0.08
R03,M27,stable,0.08
R03,M28,stable,0.08
R03,M29,stable,0.11
R03,M30,stable,0.09
R03,M31,stable,0.07
R03,M32,stable,0.11
R03,M33,stable,0.09
R03,M34,stable,0.1
R03,M35,stable,0.08
R03,M36,stable,0.09
R03,M37,stable,0.07
R03,M38,stable,0.07
R03,M39,stable,0.09
R03,M40,stable,0.07
R03,M41,stable,0.12
R03,M42,stable,0.09
R03,M43,stable,0.09
R03,M44,stable,0.1
R03,M45,stable,0.08
R03,M46,stable,0.07
R03,M47,stable,0.13
R03,M48,stable,0.06
R03,M49,stable,0.12
R03,M50,stable,0.11
R04,M01,stable,0.1
R04,M02,stable,0.07
R04,M03,stable,0.09
R04,M04,stable,0.09
R04,M05,stable,0.11
R04,M06,stable,0.08
R04,M07,stable,0.04
R04,M08,stable,0.04
R04,M09,stable,0.11
R04,M10,stable,0.11
R04,M11,stable,0.1
R04,M12,stable,0.13
R04,M13,stable,0.12
R04,M14,stable,0.08
R04,M15,stable,0.08
R04,M16,stable,0.08
R04,M17,stable,0.09
R04,M18,stable,0.11
R04,M19,stable,0.09
R04,M20,stable,0.07
R04,M21,stable,0.09
