menu_item_id,menu_item_name,ingredient_id,ingredient_name,count_per_item,unit
M38,Apple Pie Slice,ING001,Apple Pie Slice,1,count
M05,BBQ Ranch Burger,ING002,Burger Bun,1,count
M05,BBQ Ranch Burger,ING003,Beef Patty,1,count
M05,BBQ Ranch Burger,ING004,Cheese Slice,1,count
M05,BBQ Ranch Burger,ING005,BBQ Sauce Portion,1,count
M05,BBQ Ranch Burger,ING006,Ranch Sauce Portion,1,count
M05,BBQ Ranch Burger,ING007,Lettuce Portion,1,count
M05,BBQ Ranch Burger,ING008,Onion Portion,1,count
M30,Bottled Water,ING009,Bottled Water,1,count
M32,Breakfast Burrito,ING010,Flour Tortilla,1,count
M32,Breakfast Burrito,ING011,Scrambled Egg Portion,1,count
M32,Breakfast Burrito,ING012,Sausage Portion,1,count
M32,Breakfast Burrito,ING013,Cheese Portion,1,count
M32,Breakfast Burrito,ING014,Vegetable Pepper-Onion Portion,1,count
M32,Breakfast Burrito,ING015,Salsa Portion,1,count
M31,Breakfast Sandwich Egg & Cheese,ING016,Breakfast Sandwich Bun,1,count
M31,Breakfast Sandwich Egg & Cheese,ING017,Egg,1,count
M31,Breakfast Sandwich Egg & Cheese,ING004,Cheese Slice,1,count
M31,Breakfast Sandwich Egg & Cheese,ING018,Butter Portion,1,count
M40,Brownie,ING019,Brownie,1,count
M13,Buffalo Chicken Tenders,ING020,Chicken Tender Portion,1,count
M13,Buffalo Chicken Tenders,ING021,Buffalo Sauce Portion,1,count
M14,Chicken Caesar Salad,ING007,Lettuce Portion,1,count
M14,Chicken Caesar Salad,ING022,Grilled Chicken Portion,1,count
M14,Chicken Caesar Salad,ING023,Parmesan Portion,1,count
M14,Chicken Caesar Salad,ING024,Croutons,1,count
M14,Chicken Caesar Salad,ING025,Caesar Dressing,1,count
M12,Chicken Nuggets 12pc,ING026,Chicken Nuggets,12,count
M11,Chicken Nuggets 6pc,ING026,Chicken Nuggets,6,count
M50,Chili Bowl,ING027,Chili,1,count
M50,Chili Bowl,ING013,Cheese Portion,1,count
M50,Chili Bowl,ING008,Onion Portion,1,count
M39,Chocolate Chip Cookie,ING028,Chocolate Chip Cookie,1,count
M01,Classic Cheeseburger,ING002,Burger Bun,1,count
M01,Classic Cheeseburger,ING003,Beef Patty,1,count
M01,Classic Cheeseburger,ING004,Cheese Slice,1,count
M01,Classic Cheeseburger,ING029,Pickles,1,count
M01,Classic Cheeseburger,ING008,Onion Portion,1,count
M01,Classic Cheeseburger,ING030,Ketchup,1,count
M01,Classic Cheeseburger,ING031,Mustard,1,count
M29,Coffee Regular,ING032,Coffee Beans,1,count
M20,Coleslaw,ING033,Coleslaw,1,count
M43,Combo #1 Cheeseburger Meal,ING002,Burger Bun,1,count
M43,Combo #1 Cheeseburger Meal,ING003,Beef Patty,1,count
M43,Combo #1 Cheeseburger Meal,ING004,Cheese Slice,1,count
M43,Combo #1 Cheeseburger Meal,ING029,Pickles,1,count
M43,Combo #1 Cheeseburger Meal,ING008,Onion Portion,1,count
M43,Combo #1 Cheeseburger Meal,ING030,Ketchup,1,count
M43,Combo #1 Cheeseburger Meal,ING031,Mustard,1,count
M43,Combo #1 Cheeseburger Meal,ING034,Frozen Fries,1,count
M43,Combo #1 Cheeseburger Meal,ING035,Frying Oil,1,count
M43,Combo #1 Cheeseburger Meal,ING036,Salt,1,count
M43,Combo #1 Cheeseburger Meal,ING037,Soft Drink Syrup,1,count
M43,Combo #1 Cheeseburger Meal,ING038,Carbonated Water,1,count
M43,Combo #1 Cheeseburger Meal,ING115,Ice Portion,1,count
M44,Combo #2 Chicken Sandwich Meal,ING128,Sandwich Bun,1,count
M44,Combo #2 Chicken Sandwich Meal,ING039,Crispy Chicken Patty,1,count
M44,Combo #2 Chicken Sandwich Meal,ING029,Pickles,1,count
M44,Combo #2 Chicken Sandwich Meal,ING129,Sandwich Sauce Portion,1,count
M44,Combo #2 Chicken Sandwich Meal,ING034,Frozen Fries,1,count
M44,Combo #2 Chicken Sandwich Meal,ING035,Frying Oil,1,count
M44,Combo #2 Chicken Sandwich Meal,ING036,Salt,1,count
M44,Combo #2 Chicken Sandwich Meal,ING037,Soft Drink Syrup,1,count
M44,Combo #2 Chicken Sandwich Meal,ING038,Carbonated Water,1,count
M44,Combo #2 Chicken Sandwich Meal,ING115,Ice Portion,1,count
M45,Combo #3 Double Burger Meal,ING002,Burger Bun,1,count
