restaurant_id,menu_item_id,customer_demand_trend,pattern_strength
R01,M01,stable,0.0556
R01,M02,stable,0.0714
R01,M03,stable,0.0923
R01,M04,stable,0.0825
R01,M05,stable,0.072
R01,M06,stable,0.0763
R01,M07,stable,0.0565
R01,M08,stable,0.077
R01,M09,stable,0.1387
R01,M10,stable,0.0991
R01,M11,stable,0.1088
R01,M12,stable,0.0949
R01,M13,stable,0.0925
R01,M14,stable,0.0919
R01,M15,stable,0.1227
R01,M16,stable,0.0773
R01,M17,stable,0.0502
R01,M18,stable,0.1013
R01,M19,stable,0.0723
R01,M20,stable,0.0888
R01,M21,stable,0.1405
R01,M22,stable,0.0331
R01,M23,stable,0.0908
R01,M24,stable,0.1024
R01,M25,stable,0.0877
R01,M26,stable,0.0953
R01,M27,stable,0.0723
R01,M28,stable,0.0961
R01,M29,stable,0.0653
R01,M30,stable,0.09
R01,M31,stable,0.0578
R01,M32,stable,0.1112
R01,M33,stable,0.0953
R01,M34,stable,0.1224
R01,M35,stable,0.0897
R01,M36,stable,0.0365
R01,M37,stable,0.0811
R01,M38,stable,0.0572
R01,M39,stable,0.1032
R01,M40,stable,0.0953
R01,M41,stable,0.108
R01,M42,stable,0.0915
R01,M43,stable,0.0739
R01,M44,stable,0.1241
R01,M45,stable,0.1066
R01,M46,stable,0.1077
R01,M47,stable,0.1006
R01,M48,stable,0.0505
R01,M49,stable,0.124
R01,M50,stable,0.0875
