month,mean,median,count,seasonal_index,dimension
1,35.66233766233766,34.0,154,0.7329981023327651,month
2,35.77142857142857,35.5,140,0.7352403397907387,month
3,40.729032258064514,40.0,155,0.837138149430396,month
4,44.30201342281879,44.0,149,0.9105766446359826,month
5,54.68627450980392,53.0,153,1.124013120476617,month
6,65.84666666666666,64.0,150,1.3534020727580371,month
7,67.38562091503267,65.0,153,1.3850334973244796,month
8,64.09740259740259,59.0,154,1.317447973074786,month
9,50.93288590604027,50.0,149,1.0468665590277946,month
10,44.92156862745098,44.0,153,0.9233108852678127,month
11,41.44,40.0,150,0.8517512690355329,month
12,37.26623376623377,37.0,154,0.7659643316255897,month
