week_of_year,mean,median,count,seasonal_index,dimension
1,25.916931216931218,23.0,1890,0.7384929175405173,week_of_year
2,25.50545037292025,22.0,1743,0.7267679302547086,week_of_year
3,25.494259471871413,22.0,1742,0.7264490498634969,week_of_year
4,25.605504587155963,22.0,1744,0.7296189363389045,week_of_year
5,25.893739230327398,23.0,1741,0.7378320708643712,week_of_year
6,27.12464101091327,24.0,1741,0.7729061403806274,week_of_year
7,26.809742120343838,23.0,1745,0.7639332184524723,week_of_year
8,27.218014916810098,24.0,1743,0.7755667936659537,week_of_year
9,29.09450171821306,25.0,1746,0.8290365583188397,week_of_year
10,30.082521489971345,26.0,1745,0.8571897990604296,week_of_year
11,32.01548165137615,27.0,1744,0.9122687502347442,week_of_year
12,30.094090648307517,26.0,1743,0.857519457746547,week_of_year
13,30.421928817451207,26.5,1742,0.8668610794063637,week_of_year
14,32.40287356321839,28.0,1740,0.9233073327279169,week_of_year
15,32.63547646383467,28.0,1742,0.9299352622951444,week_of_year
16,32.18875502008032,28.0,1743,0.91720610776814,week_of_year
17,32.78358208955224,28.0,1742,0.9341554747394665,week_of_year
18,37.055587392550144,32.0,1745,1.0558846113240656,week_of_year
19,37.911646586345384,33.0,1743,1.0802776865042099,week_of_year
20,39.169724770642205,34.0,1744,1.1161261371189368,week_of_year
21,38.37098623853211,34.0,1744,1.0933663919935317,week_of_year
22,41.77358490566038,37.0,1749,1.1903221232054682,week_of_year
23,46.38073394495413,40.0,1744,1.3216010507564786,week_of_year
24,47.966685812751294,41.0,1741,1.3667921349988608,week_of_year
25,44.25917431192661,38.0,1744,1.2611480306818201,week_of_year
26,46.02808022922636,40.0,1745,1.3115523197076742,week_of_year
27,54.80927835051546,46.0,1746,1.5617691592637255,week_of_year
28,44.354394026421595,39.0,1741,1.2638612795682793,week_of_year
29,44.0780711825488,39.0,1742,1.2559875671504526,week_of_year
30,44.17124856815578,38.5,1746,1.258642620666231,week_of_year
31,47.46440872560276,40.0,1742,1.3524799439297364,week_of_year
32,47.17910447761194,41.0,1742,1.3443503098800154,week_of_year
33,42.170773638968484,37.0,1745,1.2016398623320552,week_of_year
34,42.1816091954023,37.0,1740,1.201948617316085,week_of_year
35,39.90637564618036,35.0,1741,1.1371167185165352,week_of_year
36,39.453448275862065,34.0,1740,1.1242107285156127,week_of_year
37,37.60137851809305,33.0,1741,1.0714367180644881,week_of_year
38,36.7709049255441,32.0,1746,1.0477726946826935,week_of_year
39,35.79288582903041,31.0,1743,1.0199044193089912,week_of_year
40,33.19484240687679,29.0,1745,0.9458741782027543,week_of_year
41,33.36222732491389,29.0,1742,0.9506437466149568,week_of_year
42,33.55938037865749,29.0,1743,0.9562615465250794,week_of_year
43,33.19736087205967,29.0,1743,0.9459459408927526,week_of_year
44,32.385632183908044,28.0,1740,0.9228160463019605,week_of_year
45,31.265481651376145,27.0,1744,0.8908977907056486,week_of_year
46,31.334672789896672,27.0,1742,0.8928693654004409,week_of_year
47,30.213095921883976,26.0,1741,0.8609104669270156,week_of_year
48,29.479357798165136,25.0,1744,0.8400028832644159,week_of_year
49,28.05787965616046,24.0,1745,0.7994984141387149,week_of_year
50,28.471871412169918,25.0,1742,0.811294948889458,week_of_year
51,27.102637614678898,24.0,1744,0.7722791621267242,week_of_year
52,28.24712643678161,24.0,1740,0.8048909278582699,week_of_year
53,30.66,26.0,150,0.8736448255494226,week_of_year
