date,restaurant_id,restaurant_name,city,state,menu_item_id,menu_item_name,category,unit_price,quantity,day_of_week,day_of_week_num,is_weekend,month,year,avg_temp_f,precip_inches,precip_type,is_holiday,holiday_name,is_special_event,special_event_name,is_promotion,quantity_was_missing,invalid_quantity,invalid_price,day,week_of_year,quarter,revenue,quantity_lag_1,quantity_lag_7,quantity_lag_14,quantity_lag_28,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_28,rolling_std_28,demand_outlier_flag,inventory_available,day_of_month,day_of_year,is_month_start,is_month_end,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,has_precipitation,temp_c,temp_band,context_event_count,is_context_day,weekend_promotion,holiday_promotion,event_promotion,precipitation_weekend
2021-01-01,R01,Downtown Chicago Grill,Chicago,IL,M01,Classic Cheeseburger,Burgers,6.99,75.0,Friday,4,0,1,2021,24.3,0.0,None,1,New Year's Day,0,None,0,0,0,0,1,53,1,524.25,,,,,,,,,,,0,0,1,1,1,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,1.0,0,-4.277777777777778,freezing,1,1,0,0,0,0
2021-01-02,R01,Downtown Chicago Grill,Chicago,IL,M01,Classic Cheeseburger,Burgers,6.99,49.0,Saturday,5,1,1,2021,27.8,0.16,Snow,0,None,0,None,0,0,0,0,2,53,1,342.51,75.0,,,,75.0,,75.0,,75.0,,0,0,2,2,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,0.017201575418260506,0.9998520419557735,1,-2.333333333333333,freezing,0,0,0,0,0,1
2021-01-03,R01,Downtown Chicago Grill,Chicago,IL,M01,Classic Cheeseburger,Burgers,6.99,55.0,Sunday,6,1,1,2021,24.6,0.0,None,0,None,0,None,0,0,0,0,3,53,1,384.45,49.0,,,,62.0,18.384776310850235,62.0,18.384776310850235,62.0,18.384776310850235,0,0,3,3,0,0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.03439806061360801,0.9994082116062598,0,-4.111111111111111,freezing,0,0,0,0,0,0
2021-01-04,R01,Downtown Chicago Grill,Chicago,IL,M01,Classic Cheeseburger,Burgers,6.99,44.0,Monday,0,0,1,2021,20.5,0.0,None,0,None,0,None,0,0,0,0,4,1,1,307.56,55.0,,,,59.666666666666664,13.613718571108091,59.666666666666664,13.613718571108091,59.666666666666664,13.613718571108091,0,0,4,4,0,0,0.0,1.0,0.0,1.0,0.051584366869408364,0.9986686402879997,0,-6.388888888888889,freezing,0,0,0,0,0,0
2021-01-05,R01,Downtown Chicago Grill,Chicago,IL,M01,Classic Cheeseburger,Burgers,6.99,40.0,Tuesday,1,0,1,2021,24.8,0.01,Snow,0,None,0,None,0,0,0,0,5,1,1,279.6,44.0,,,,55.75,13.59840676942217,55.75,13.59840676942217,55.75,13.59840676942217,0,0,5,5,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,0.06875540848113941,0.9976335468520451,1,-4.0,freezing,0,0,0,0,0,0
2021-01-06,R01,Downtown Chicago Grill,Chicago,IL,M01,Classic Cheeseburger,Burgers,6.99,48.0,Wednesday,2,0,1,2021,20.5,0.0,None,0,None,0,None,0,0,0,0,6,1,1,335.52,40.0,,,,52.6,13.722244714331545,52.6,13.722244714331545,52.6,13.722244714331545,0,0,6,6,0,0,0.9749279121818236,-0.22252093395631434,0.0,1.0,0.08590610426133272,0.9963032375991965,0,-6.388888888888889,freezing,0,0,0,0,0,0
2021-01-07,R01,Downtown Chicago Grill,Chicago,IL,M01,Classic Cheeseburger,Burgers,6.99,41.0,Thursday,3,0,1,2021,23.3,0.11,Snow,0,None,0,None,0,0,0,0,7,1,1,286.59000000000003,48.0,,,,51.833333333333336,12.416387021459451,51.833333333333336,12.416387021459451,51.833333333333336,12.416387021459451,0,0,7,7,0,0,0.43388373911755823,-0.900968867902419,0.0,1.0,0.10303137904317879,0.9946781061893646,1,-4.833333333333333,freezing,0,0,0,0,0,0
2021-01-08,R01,Downtown Chicago Grill,Chicago,IL,M01,Classic Cheeseburger,Burgers,6.99,57.0,Friday,4,0,1,2021,28.4,0.0,None,0,None,0,None,0,0,0,0,8,1,1,398.43,41.0,75.0,,,50.285714285714285,12.051476890327395,50.285714285714285,12.051476890327395,50.285714285714285,12.051476890327395,0,0,8,8,0,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.1201261651823505,0.9927586335250793,0,-2.000000000000001,freezing,0,0,0,0,0,0
2021-01-09,R01,Downtown Chicago Grill,Chicago,IL,M01,Classic Cheeseburger,Burgers,6.99,57.0,Saturday,5,1,1,2021,22.6,0.12,Snow,0,None,0,None,0,0,0,0,9,1,1,398.43,57.0,49.0,,,47.714285714285715,6.575568054403758,51.125,11.407234546549834,51.125,11.407234546549834,0,0,9,9,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,0.13718540405660057,0.9905453876091833,1,-5.222222222222221,freezing,0,0,0,0,0,1
2021-01-10,R01,Downtown Chicago Grill,Chicago,IL,M01,Classic Cheeseburger,Burgers,6.99,44.0,Sunday,6,1,1,2021,25.7,0.01,Snow,0,None,0,None,0,0,0,0,10,1,1,307.56,57.0,55.0,,,48.857142857142854,7.470577207252717,51.77777777777778,10.848707040216564,51.77777777777778,10.848707040216564,0,0,10,10,0,0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.1542040475626894,0.988039023376751,1,-3.5000000000000004,freezing,0,0,0,0,0,1
2021-01-11,R01,Downtown Chicago Grill,Chicago,IL,M01,Classic Cheeseburger,Burgers,6.99,38.0,Monday,0,0,1,2021,24.1,0.13,Snow,0,None,0,None,0,0,0,0,11,2,1,265.62,44.0,44.0,,,47.285714285714285,7.1113591226592225,51.0,10.519822558706334,51.0,10.519822558706334,0,0,11,11,0,0,0.0,1.0,0.0,1.0,0.17117705961019986,0.985240282501282,1,-4.388888888888888,freezing,0,0,0,0,0,0
