git Date,Restaurant_ID,Restaurant_Name,Menu_Item_ID,Menu_Item_Name,Units_Sold,Current_Stock,Promotion
2024-09-24,R01,Downtown Branch,M01,Chicken Burger,25,40,0
2024-09-25,R01,Downtown Branch,M01,Chicken Burger,20,40,0
2024-09-26,R01,Downtown Branch,M01,Chicken Burger,24,40,0
2024-09-27,R01,Downtown Branch,M01,Chicken Burger,24,40,0
2024-09-28,R01,Downtown Branch,M01,Chicken Burger,30,40,0
2024-09-29,R01,Downtown Branch,M01,Chicken Burger,28,40,0
2024-09-30,R01,Downtown Branch,M01,Chicken Burger,25,40,0
2024-10-01,R01,Downtown Branch,M01,Chicken Burger,25,40,0
2024-10-02,R01,Downtown Branch,M01,Chicken Burger,26,40,0
2024-10-03,R01,Downtown Branch,M01,Chicken Burger,23,40,0
2024-10-04,R01,Downtown Branch,M01,Chicken Burger,26,40,0
2024-10-05,R01,Downtown Branch,M01,Chicken Burger,27,40,0
2024-10-06,R01,Downtown Branch,M01,Chicken Burger,29,40,0
2024-10-07,R01,Downtown Branch,M01,Chicken Burger,31,40,1
2024-10-08,R01,Downtown Branch,M01,Chicken Burger,23,40,0
2024-10-09,R01,Downtown Branch,M01,Chicken Burger,22,40,0
2024-10-10,R01,Downtown Branch,M01,Chicken Burger,26,40,0
2024-10-11,R01,Downtown Branch,M01,Chicken Burger,22,40,0
2024-10-12,R01,Downtown Branch,M01,Chicken Burger,30,40,0
2024-10-13,R01,Downtown Branch,M01,Chicken Burger,30,40,0
2024-10-14,R01,Downtown Branch,M01,Chicken Burger,24,40,0
2024-10-15,R01,Downtown Branch,M01,Chicken Burger,24,40,0
2024-10-16,R01,Downtown Branch,M01,Chicken Burger,24,40,0
2024-10-17,R01,Downtown Branch,M01,Chicken Burger,24,40,0
2024-10-18,R01,Downtown Branch,M01,Chicken Burger,25,40,0
2024-10-19,R01,Downtown Branch,M01,Chicken Burger,27,40,0
2024-10-20,R01,Downtown Branch,M01,Chicken Burger,27,40,0
2024-10-21,R01,Downtown Branch,M01,Chicken Burger,27,40,0
2024-10-22,R01,Downtown Branch,M01,Chicken Burger,26,40,0
2024-10-23,R01,Downtown Branch,M01,Chicken Burger,23,40,0
2024-10-24,R01,Downtown Branch,M01,Chicken Burger,25,40,0
2024-10-25,R01,Downtown Branch,M01,Chicken Burger,26,40,0
2024-10-26,R01,Downtown Branch,M01,Chicken Burger,41,40,1
2024-10-27,R01,Downtown Branch,M01,Chicken Burger,25,40,0
2024-10-28,R01,Downtown Branch,M01,Chicken Burger,22,40,0
2024-10-29,R01,Downtown Branch,M01,Chicken Burger,24,40,0
2024-10-30,R01,Downtown Branch,M01,Chicken Burger,23,40,0
2024-10-31,R01,Downtown Branch,M01,Chicken Burger,26,40,0
2024-11-01,R01,Downtown Branch,M01,Chicken Burger,27,40,0
2024-11-02,R01,Downtown Branch,M01,Chicken Burger,30,40,0
2024-11-03,R01,Downtown Branch,M01,Chicken Burger,28,40,0
2024-11-04,R01,Downtown Branch,M01,Chicken Burger,25,40,0
2024-11-05,R01,Downtown Branch,M01,Chicken Burger,27,40,0
2024-11-06,R01,Downtown Branch,M01,Chicken Burger,28,40,0
2024-11-07,R01,Downtown Branch,M01,Chicken Burger,25,40,0
2024-11-08,R01,Downtown Branch,M01,Chicken Burger,22,40,0
2024-11-09,R01,Downtown Branch,M01,Chicken Burger,27,40,0
2024-11-10,R01,Downtown Branch,M01,Chicken Burger,32,40,0
