restaurant_id,ingredient_id,ingredient_name,category,current_stock,unit,expiry_date,days_to_expiry,remaining_days,days_expired,status,expiry_status,expiry_risk,forecasted_demand,forecast_horizon_days,forecast_daily_demand,expected_demand_until_expiry,surplus_quantity,surplus_ratio,waste_risk,recommendations,promotion_recommended,demand_source,forecast_match_status,supplier_id,supplier_name,storage_type,batch_id,projected_ending_stock,stockout_risk,order_required
R01,ING002,Burger Bun,Bakery,8.9,pack,2025-12-20,0,0,12,Expired,expired,critical,,,1.48,0.0,8.9,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP02,Lion City Foods,Ambient,BATCH-002-A,,,
R01,ING004,Cheese Slice,Dairy & Chilled,37.7,kg,2025-12-18,0,0,14,Expired,expired,critical,,,7.37,0.0,37.7,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP04,PantryPro Distribution,Chilled,BATCH-004-A,,,
R01,ING005,BBQ Sauce Portion,Sauces & Condiments,30.5,L,2026-01-02,1,1,0,Near Expiry,approaching_expiry,critical,,,2.35,2.35,28.15,0.923,critical,priority_selling | promotion_or_markdown | consider_stock_reallocation | reduce_or_delay_future_ordering,True,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP05,Metro Food Supply,Ambient,BATCH-005-A,,,
R01,ING007,Lettuce Portion,Fresh Produce,75.3,kg,2025-12-12,0,0,20,Expired,expired,critical,,,4.55,0.0,75.3,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP02,Lion City Foods,Chilled,BATCH-007-A,,,
R01,ING010,Flour Tortilla,Bakery,5.8,pack,2025-12-19,0,0,13,Expired,expired,critical,,,3.51,0.0,5.8,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP05,Metro Food Supply,Ambient,BATCH-010-A,,,
R01,ING013,Cheese Portion,Dairy & Chilled,82.0,kg,2025-12-16,0,0,16,Expired,expired,critical,,,8.22,0.0,82.0,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP03,Harbour Cold Chain,Chilled,BATCH-013-A,,,
R01,ING014,Vegetable Pepper-Onion Portion,Fresh Produce,45.0,kg,2025-12-17,0,0,15,Expired,expired,critical,,,2.82,0.0,45.0,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP04,PantryPro Distribution,Chilled,BATCH-014-A,,,
R01,ING016,Breakfast Sandwich Bun,Bakery,61.2,pack,2025-12-22,0,0,10,Expired,expired,critical,,,3.77,0.0,61.2,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP01,FreshLink SG,Ambient,BATCH-016-A,,,
R01,ING017,Egg,Dairy & Chilled,95.9,kg,2025-12-27,0,0,5,Expired,expired,critical,,,8.06,0.0,95.9,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP02,Lion City Foods,Chilled,BATCH-017-A,,,
R01,ING018,Butter Portion,Dairy & Chilled,167.4,kg,2025-12-20,0,0,12,Expired,expired,critical,,,6.58,0.0,167.4,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP03,Harbour Cold Chain,Chilled,BATCH-018-A,,,
R01,ING028,Chocolate Chip Cookie,Bakery,94.6,pack,2025-12-17,0,0,15,Expired,expired,critical,,,4.28,0.0,94.6,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP03,Harbour Cold Chain,Ambient,BATCH-028-A,,,
R01,ING032,Coffee Beans,Fresh Produce,21.0,kg,2025-12-17,0,0,15,Expired,expired,critical,,,5.71,0.0,21.0,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP02,Lion City Foods,Chilled,BATCH-032-A,,,
R01,ING042,Mixed Greens,Fresh Produce,28.8,kg,2025-12-14,0,0,18,Expired,expired,critical,,,6.28,0.0,28.8,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP02,Lion City Foods,Chilled,BATCH-042-A,,,
R01,ING043,Tomato,Fresh Produce,29.8,kg,2025-12-19,0,0,13,Expired,expired,critical,,,5.73,0.0,29.8,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP03,Harbour Cold Chain,Chilled,BATCH-043-A,,,
R01,ING048,Seasoned Tortilla Chips,Bakery,50.9,pack,2025-12-19,0,0,13,Expired,expired,critical,,,2.0,0.0,50.9,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP03,Harbour Cold Chain,Ambient,BATCH-048-A,,,
R01,ING049,Jalapeno,Fresh Produce,180.6,kg,2025-12-19,0,0,13,Expired,expired,critical,,,5.85,0.0,180.6,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP04,PantryPro Distribution,Chilled,BATCH-049-A,,,
